FUG,CHINA,FUYANG
FUJ,JAPAN,FUKUE
FUK,JAPAN,FUKUOKA
FUL,UNITED STATES,MUNICIPAL
FUM,PAPUA NEW GUINEA,FUMA
FUN,TUVALU,INTERNATIONAL
FUO,CHINA,FUOSHAN
FUT,WALLIS AND FUTUNA ISLANDS,FUTUNA ISLAND
FVL,AUSTRALIA,FLORA VALEY
FVR,AUSTRALIA,FORREST RIVER AIRPORT
FWA,UNITED STATES,MUNICIPAL/BAER FIELD
FWH,UNITED STATES,FORT WORTH NAS JRB/CARSWELL FIELD
FWL,UNITED STATES,FAREWELL
FWM,UNITED KINGDOM,HELIPORT
FXE,UNITED STATES,EXECUTIVE
FXM,UNITED STATES,FLAXMAN ISLAND
FXO,MOZAMBIQUE,CUAMBA
FXY,UNITED STATES,MUNICIPAL
FYM,UNITED STATES,MUNICIPAL
FYN,CHINA,FUYUN
FYT,CHAD,FAYA
FYU,UNITED STATES,FORT YUKON
FYV,UNITED STATES,MUNICIPAL (DRAKE FLD)
FZO,UNITED KINGDOM,FILTON
GAA,COLOMBIA,GUAMAL
GAB,UNITED STATES,GABBS
GAC,HONDURAS,GRACIAS
GAD,UNITED STATES,MUNICIPAL
GAE,TUNISIA,GABES
GAF,TUNISIA,GAFSA
GAG,UNITED STATES,GAGE
GAH,AUSTRALIA,GAYNDAH
GAI,UNITED STATES,MONTGOMERY COUNTY
GAJ,JAPAN,JUNMACHI
GAK,UNITED STATES,GAKONA
GAL,UNITED STATES,GALENA
GAM,UNITED STATES,GAMBELL
GAN,MALDIVES,GAN AIRPORT
GAP,PAPUA NEW GUINEA,GUSAP
GAQ,MALI,GAO
GAR,PAPUA NEW GUINEA,GARAINA
GAS,KENYA,GARISSA
GAT,FRANCE,TALLARD
GAU,INDIA,BORJHAR
GAV,INDONESIA,GAG ISLAND
GAW,MYANMAR,GANGAW
GAX,GABON,GAMBA
GAY,INDIA,GAYA
GAZ,PAPUA NEW GUINEA,GUASOPA
GBA,VANUATU,BIG BAY
GBB,ALGERIA,GARA DJEBILET
GBC,PAPUA NEW GUINEA,GASUKE
GBD,UNITED STATES,GREAT BEND
GBE,BOTSWANA,SIR SERETSE KHAMA INTERNATIONAL
GBF,PAPUA NEW GUINEA,NEGARBO
GBG,UNITED STATES,GALESBURG
GBH,UNITED STATES,GALBRAITH LAKE
GBI,BAHAMAS,AUXILIARY AIRFIELD
GBJ,GUADELOUPE,LES BASES
GBK,SIERRA LEONE,GBANGBATOK
GBL,AUSTRALIA,GOULBURN ISLAND
GBM,SOMALIA,GARBAHAREY
GBN,ITALY,SAN GIOVANNI ROTONDO
GBO,UNITED STATES,BALTIMORE GREENBELT T
GBP,AUSTRALIA,GAMBOOLA
GBQ,BAHRAIN,MUHARRAQ
GBR,UNITED STATES,WALTER J. KOLADZA AIRPORT
GBS,NEW ZEALAND (AOTEAROA),PORT FITZROY
GBT,IRAN,GORGAN
GBU,SUDAN,KHASHM EL GIRBA
GBV,AUSTRALIA,GIBB RIVER
GBZ,NEW ZEALAND (AOTEAROA),GREAT BARRIER ISLAND
GCA,COLOMBIA,GUACAMAYA
GCC,UNITED STATES,CAMPBELL COUNTY
GCH,IRAN,GACHSARAN
GCI,UNITED KINGDOM,GUERNSEY
GCJ,SOUTH AFRICA,GRAND CENTRAL
GCK,UNITED STATES,GARDEN CITY MUNICIPAL AIRPORT
GCM,CAYMAN ISLANDS,OWEN ROBERTS INTERNATIONAL
GCN,UNITED STATES,NATIONAL PARK
GCV,BRAZIL,GRAVATAI
GCY,UNITED STATES,MUNICIPAL
GDA,CENTRAL AFRICAN REPUBLIC,GOUNDA
GDC,UNITED STATES,DONALDSON CENTER
GDD,AUSTRALIA,GORDON DOWNS
GDE,ETHIOPIA,GODE/IDDIDOLE
GDG,RUSSIAN FEDERATION,MAGDAGACHI
GDH,UNITED STATES,GOLDEN HORN LODGE SPB
GDI,CENTRAL AFRICAN REPUBLIC,GORDIL
GDJ,ZAIRE,GANDAJIKA
GDL,MEXICO,DON MIGUEL HIDALGO Y COSTILLA INTERNATIO
GDM,UNITED STATES,MUNICIPAL
GDN,POLAND,LECH WALESA
GDO,VENEZUELA,VARE MARIA
GDP,BRAZIL,GUADALUPE
GDQ,ETHIOPIA,GONDAR
GDT,TURKS AND CAICOS ISLANDS,GRAND TURK IS
GDV,UNITED STATES,DAWSON COMMUNITY
GDW,UNITED STATES,GLADWIN
GDX,RUSSIAN FEDERATION,MAGADAN
GDZ,RUSSIAN FEDERATION,GELENDZIK
GEA,NEW CALEDONIA,MAGENTA
GEB,INDONESIA,GEBE
GEC,CYPRUS,GECITKALE
GED,UNITED STATES,SUSSEX COUNTY
GEE,TASMANIA,GEORGE TOWN
GEF,SOLOMON ISLANDS,GEVA AIRSTRIP
GEG,UNITED STATES,SPOKANE INTERNATIONAL
GEI,PAPUA NEW GUINEA,GREEN ISLANDS
GEK,UNITED STATES,GANES CREEK
GEL,BRAZIL,SEPE TIARAJU
GEN,NORWAY,OSLO - GARDERMOEN AIRPORT
GEO,GUYANA,CHEDDI JAGAN INTERNATIONAL
GES,PHILIPPINES,GENERAL SANTOS INTERNATIONAL
GET,AUSTRALIA,GERALDTON
GEV,SWEDEN,GALLIVARE
GEW,PAPUA NEW GUINEA,GEWOIA
GEX,AUSTRALIA,GEELONG
GEY,UNITED STATES,SOUTH BIG HORN COUNTY
GFA,UNITED STATES,MALMSTROM AFB
GFB,UNITED STATES,TOGIAK FISH
GFD,UNITED STATES,POPE FIELD
GFE,AUSTRALIA,GRENFELL
GFF,AUSTRALIA,GRIFFITH
GFK,UNITED STATES,GRAND FORKS
GFL,UNITED STATES,WARREN COUNTY
GFN,AUSTRALIA,GRAFTON
GFO,GUYANA,BARTICA
GFR,FRANCE,GRANVILLE
GFY,NAMIBIA,GROOTFONTEIN
GGC,ANGOLA,LUMBALA
GGD,AUSTRALIA,GREGORY DOWNS
GGE,UNITED STATES,GEORGETOWN
GGG,UNITED STATES,KILGORE
GGL,COLOMBIA,GILGAL
GGN,COTE D'IVOIRE (IVORY COAST),GAGNOA
GGO,COTE D'IVOIRE (IVORY COAST),GUIGLO
GGR,SOMALIA,GAROE
GGS,ARGENTINA,GOBERNADOR GREGORES
GGT,BAHAMAS,EXUMA INTERNATIONAL
GGW,UNITED STATES,INTERNATIONAL
GHA,ALGERIA,NOUMERATE
GHB,BAHAMAS,GOVERNORS HARBOUR
GHC,BAHAMAS,GREAT HARBOUR
GHD,ETHIOPIA,GHIMBI
GHE,PANAMA,GARACHINE
GHF,GERMANY,GIEBELSTADT
GHK,ISRAEL,GUSH KATIF
GHM,UNITED STATES,MUNICIPAL
GHN,CHINA,GUANGHAN
GHT,LIBYA,GHAT
GHU,ARGENTINA,GUALEGUAYCHU
GIB,GIBRALTAR,NORTH FRONT
GIC,AUSTRALIA,BOIGU ISLAND
GID,BURUNDI,GITEGA
GIF,UNITED STATES,GILBERT FIELD
GIG,BRAZIL,GALECO_x0016_ANTONIO CARLOS JOBIM INTERNATIONA
GII,GUINEA,SIGUIRI
GIL,PAKISTAN,GILGIT
GIM,GABON,MIELE MIMBALE
GIR,COLOMBIA,GIRARDOT
GIS,NEW ZEALAND (AOTEAROA),GISBORNE
GIT,TANZANIA,GEITA
GIU,SRI LANKA,SIGIRIYA SLAF BASE
GIY,SOUTH AFRICA,GIYANI
GIZ,SAUDI ARABIA,JAZAN
GJA,HONDURAS,GUANAJA
GJL,ALGERIA,JIJEL
GJM,BRAZIL,GUAJARA-MIRIM
GJR,ICELAND,GJOGUR
GJT,UNITED STATES,WALKER FIELD
GKA,PAPUA NEW GUINEA,GOROKA
GKE,GERMANY,GEILENKIRCHEN
GKH,NEPAL,GORKHA
GKL,AUSTRALIA,GREAT KEPPEL ISLAND
GKN,UNITED STATES,GULKANA
GKO,GABON,KONGOBOUMBA
GKT,UNITED STATES,GATLINBURG
GLA,UNITED KINGDOM,GLASGOW INTERNATIONAL
GLC,ETHIOPIA,GELADI
GLD,UNITED STATES,RENNER FIELD
GLE,UNITED STATES,MUNICIPAL
GLF,COSTA RICA,GOLFITO
GLG,AUSTRALIA,GLENGYLE
GLH,UNITED STATES,GREENVILLE
GLI,AUSTRALIA,GLEN INNES
GLK,SOMALIA,GALCAIO
GLL,NORWAY,KLANTEN ARPT
GLM,AUSTRALIA,GLENORMISTON
GLN,MOROCCO,GOULIMIME
GLO,UNITED KINGDOM,GLOUCESTERSHIRE
GLP,PAPUA NEW GUINEA,GULGUBIP
GLQ,UNITED STATES,GLENNALLEN
GLR,UNITED STATES,OTSEGO COUNTY
GLS,UNITED STATES,SCHOLES FIELD
GLT,AUSTRALIA,GLADSTONE
GLV,UNITED STATES,GOLOVIN
GLW,UNITED STATES,MUNICIPAL
GLX,INDONESIA,GALELA
GLY,AUSTRALIA,GOLDSWORTHY
GLZ,NETHERLANDS,GILZE-RIJEN
GMA,ZAIRE,GEMENA
GMB,ETHIOPIA,GAMBELA
GMC,COLOMBIA,GUERIMA
GME,BELARUS,GOMEL
GMI,PAPUA NEW GUINEA,GASMATA ISLAND
GMM,CONGO,GAMBOMA
GMN,NEW ZEALAND (AOTEAROA),GREYMOUTH
GMP,KOREA (SOUTH),GIMPO INTERNATIONAL
GMR,FRENCH POLYNESIA,GAMBIER IS
GMS,BRAZIL,GUIMARAES
GMT,UNITED STATES,GRANITE MOUNTAIN
GMU,UNITED STATES,GREENVILLE DOWNTOWN
GMV,UNITED STATES,MONUMENT VALLEY
GMY,GERMANY,RHEINDAHLEN
GMZ,SPAIN,LA GOMERA
GNA,BELARUS,GRODNA
GNB,FRANCE,GRENOBLE-ISERE AIRPORT (ST GEOIRS)
GND,GRENADA,POINT SALINES INTERNATIONAL
GNE,BELGIUM,GHENT
GNG,UNITED STATES,GOODING
GNI,TAIWAN,GREEN ISLAND
GNM,BRAZIL,GUANAMBI
GNN,ETHIOPIA,GHINNIR
GNR,ARGENTINA,GENERAL ROCA
GNS,INDONESIA,BINAKA
GNT,UNITED STATES,MILAN
GNU,UNITED STATES,GOODNEWS BAY
GNV,UNITED STATES,GAINESVILLE REGIONAL
GNZ,BOTSWANA,GHANZI
GOA,ITALY,CRISTOFORO COLOMBO
GOB,ETHIOPIA,GOBA
GOC,PAPUA NEW GUINEA,GORA
GOE,PAPUA NEW GUINEA,GONALIA
GOF,UNITED STATES,GOODFELLOW AFB
GOG,NAMIBIA,GOBABIS
GOH,GREENLAND,NUUK
GOI,INDIA,DABOLIM
GOJ,RUSSIAN FEDERATION (RUSSIA),NIZHNIY NOVGOROD
GOK,UNITED STATES,GUTHRIE
GOL,UNITED STATES,STATE
GOM,DEMOCRATIC REPUBLIC OF CONGO (,GOMA
GON,UNITED STATES,NEW LONDON
GOO,AUSTRALIA,GOONDIWINDI
GOP,INDIA,GORAKHPUR
GOQ,CHINA,GOLMUD
GOR,ETHIOPIA,GORE
GOS,AUSTRALIA,GOSFORD
GOT,SWEDEN,LANDVETTER
GOU,CAMEROON,GAROUA
GOV,AUSTRALIA,NHULUNBUY
GOY,SRI LANKA,AMPARAI
GOZ,BULGARIA,GORNA ORIAHOVITSA
GPA,GREECE,ARAXOS AIRPORT
GPB,BRAZIL,TANCREDO THOMAZ FARIA
GPI,COLOMBIA,GUAPI
GPL,COSTA RICA,GUAPILES
GPN,AUSTRALIA,GARDEN POINT
GPO,ARGENTINA,GENERAL PICO
GPS,ECUADOR,BALTRA
GPT,UNITED STATES,GULFPORT-BILOXI INTERNATIONAL
GPZ,UNITED STATES,GRAND RAPIDS
GQJ,UNITED KINGDOM,RAF STATION
GQQ,UNITED STATES,GALION
GRA,COLOMBIA,GAMARRA
GRB,UNITED STATES,AUSTIN-STRAUBEL FIELD
GRC,LIBERIA,GRAND CESS
GRD,UNITED STATES,GREENWOOD
GRE,UNITED STATES,MUNICIPAL
GRF,UNITED STATES,GRAY AAF
GRG,AFGHANISTAN,GARDEZ
GRH,PAPUA NEW GUINEA,GARUAHI
GRI,UNITED STATES,GRAND ISLAND
GRJ,SOUTH AFRICA,GEORGE
GRK,UNITED STATES,GRAY AAF
GRL,PAPUA NEW GUINEA,GARASA
GRM,UNITED STATES,DEVILS TRACK
GRN,UNITED STATES,GORDON
GRO,SPAIN,GIRONA-COSTA BRAVA
GRP,BRAZIL,GURUPI
GRQ,NETHERLANDS,EELDE
GRR,UNITED STATES,KENT COUNTY INTL
GRS,ITALY,BACCARINI
GRT,PAKISTAN,GUJRAT
GRU,BRAZIL,AEROPORTO INTERNACIONAL GUARULHOS
GRV,RUSSIAN FEDERATION,GROZNYJ
GRW,PORTUGAL,GRACIOSA ISLAND
GRX,SPAIN,GRANADA
GRY,ICELAND,GRIMSEY
GRZ,AUSTRIA,THALERHOF
GSA,MALAYSIA,LONG PASIA
GSB,UNITED STATES,SEYMOUR JOHNSON AFB
GSC,AUSTRALIA,GASCOYNE JUNCTION
GSE,SWEDEN,GOTHENBURG CITY AIRPORT
GSH,UNITED STATES,GOSHEN
GSI,SOLOMON ISLANDS,GUADALCANAL
GSL,CANADA,TALTHEILEI NARROWS
GSM,IRAN,GHESHM
GSN,AUSTRALIA,MOUNT GUNSON
GSO,UNITED STATES,PIEDMONT TRIAD INTL
GSP,UNITED STATES,GREENVILLE SPARTANBUR INTL AIRPORT
GSQ,EGYPT,SHARK ELOWAINAT
GSR,SOMALIA,GARDO
GSS,SOUTH AFRICA,SABI SABI
GST,UNITED STATES,GUSTAVUS ARPT
GSU,SUDAN,GEDAREF
GSY,UNITED KINGDOM,BINBROOK
GTA,SOLOMON ISLANDS,GATOKAE AERODROM
GTB,MALAYSIA,GENTING
GTC,BAHAMAS,GREEN TURTLE
GTE,AUSTRALIA,ALYANGULA
GTF,UNITED STATES,INTERNATIONAL
GTG,UNITED STATES,MUNICIPAL
GTI,GERMANY,GUETTIN
GTK,MALAYSIA,SUNGEI TEKAI
GTN,NEW ZEALAND (AOTEAROA),GLENTANNER
GTO,INDONESIA,TOLOTIO
GTR,UNITED STATES,GOLDEN TRIANGLE REG.
GTS,AUSTRALIA,GRANITES
GTT,AUSTRALIA,GEORGETOWN
GTW,CZECH REPUBLIC,HOLESOV
GTY,UNITED STATES,GETTYSBURG
GUA,GUATEMALA,LA AURORA
GUB,MEXICO,GUERRERO NEGRO
GUC,UNITED STATES,GUNNISON
GUD,MALI,GOUNDAM
GUE,PAPUA NEW GUINEA,GURIASO
GUF,UNITED STATES,EDWARDS
GUG,PAPUA NEW GUINEA,GUARI
GUH,AUSTRALIA,GUNNEDAH
GUI,VENEZUELA,GUIRIA
GUJ,BRAZIL,GUARATINGUETA
GUL,AUSTRALIA,GOULBURN
GUM,GUAM (USA),GUAM INTERNATIONAL
GUN,UNITED STATES,GUNTER AFB
GUO,HONDURAS,GUALACO
GUP,UNITED STATES,SENATOR CLARK
GUQ,VENEZUELA,GUANARE
GUR,PAPUA NEW GUINEA,GURNEY
GUS,UNITED STATES,GRISSOM AFB
GUT,GERMANY,GUETERSLOH
GUU,ICELAND,GRUNDARFJORDUR
GUV,PAPUA NEW GUINEA,MOUGULU
GUW,KAZAKHSTAN,ATYRAU INTERNATIONAL
GUX,INDIA,GUNA
GUY,UNITED STATES,GUYMON
GUZ,BRAZIL,GUARAPARI
GVA,SWITZERLAND,GENEVE-COINTRIN
GVE,UNITED STATES,MUNICIPAL
GVI,PAPUA NEW GUINEA,GREEN RIVER
GVL,UNITED STATES,LEE GILMER MEMORIAL
GVP,AUSTRALIA,GREENVALE
GVR,BRAZIL,GOVERNADOR VALADARES
GVT,UNITED STATES,MAJORS FIELD
GVW,UNITED STATES,RICHARDS-GEBAUR
GVX,SWEDEN,SANDVIKEN
GWA,MYANMAR,GWA
GWD,PAKISTAN,GWADAR
GWE,ZIMBABWE,GWERU
GWL,INDIA,GWALIOR
GWN,PAPUA NEW GUINEA,GNAROWEIN
GWO,UNITED STATES,LEFLORE
GWS,UNITED STATES,GLENWOOD SPRINGS
GWT,GERMANY,WESTERLAND - SYLT
GWV,UNITED STATES,GLENDALE
GWW,GERMANY,RAF GATOW
GWY,IRELAND,CARNMORE
GXF,YEMEN,SEIYUN
GXG,ANGOLA,NEGAGE
GXH,UNITED KINGDOM,NAF
GXQ,CHILE,TEN. VIDAL
GXX,CAMEROON,YAGOUA
GXY,UNITED STATES,WELD COUNTY
GYA,BOLIVIA,GUAYARAMERIN
GYD,AZERBAIJAN,HEYDAR ALIYEV INTERNATIONAL (BINA INTERN
GYE,ECUADOR,SIMON BOLIVAR
GYI,RWANDA,GISENYI
GYL,AUSTRALIA,ARGYLE
GYM,MEXICO,GEN JOSE M YANEZ
GYN,BRAZIL,SANTA GENOVEVA
GYP,AUSTRALIA,GYMPIE
GYR,UNITED STATES,LITCHFIELD
GYS,CHINA,GUANG YUAN
GYY,UNITED STATES,GARY/CHICAGO INTERNATIONAL
GZA,PALESTINE,GAZA - YASER ARAFAT INTERNATIONAL AIRPOR
GZI,AFGHANISTAN,GHAZNI
GZM,MALTA,GOZO HELIPORT
GZO,SOLOMON ISLANDS,GIZO
GZT,TURKEY,GAZIANTEP
GZW,IRAN,GHAZVIN
HAA,NORWAY,HASVIK
HAB,UNITED STATES,MARION COUNTY
HAC,JAPAN,HACHIJO JIMA
HAD,SWEDEN,HALMSTAD
HAE,UNITED STATES,HAVASUPAI
HAF,UNITED STATES,HALF MOON
HAH,COMOROS,PRINCE SAID IBRAHIM IN
HAI,UNITED STATES,DR HAINES
HAJ,GERMANY,HANOVER ARPT
HAK,CHINA,HAIKOU
HAL,NAMIBIA,HALALI
HAM,GERMANY,HAMBURG AIRPORT
HAN,VIET NAM,NOIBAI INTERNATIONAL
HAO,UNITED STATES,HAMILTON
HAP,AUSTRALIA,LONG ISLAND
HAQ,MALDIVES,HANIMAADHOO
HAR,UNITED STATES,CAPITAL CITY
HAS,SAUDI ARABIA,HAIL
HAT,AUSTRALIA,HEATHLANDS
HAU,NORWAY,HAUGESUND
HAV,CUBA,CIUDAD DE LA HABANA
HAW,UNITED KINGDOM,HAVERFORDWEST
HAX,UNITED STATES,HATBOX FIELD
HAY,UNITED STATES,HAYCOCK
HAZ,PAPUA NEW GUINEA,HATZFELDTHAVEN
HBA,AUSTRALIA,HOBART
HBB,UNITED STATES,INDUSTRIAL AIRPARK
HBC,UNITED STATES,HANUS BAY
HBD,PAPUA NEW GUINEA,HABI
HBE,EGYPT,AMIRYAH WEST
HBG,UNITED STATES,THE HATTIESBURG-BOBBY L. CHAIN MUN.
HBH,UNITED STATES,HOBART BAY
HBI,BAHAMAS,HARBOUR ISLAND
HBL,SOUTH AFRICA,BABELEGI HELIPORT
HBN,VIET NAM,FLAMINGO
HBO,UNITED STATES,MUNICIPAL
HBR,UNITED STATES,HOBART
HBT,SAUDI ARABIA,HAFR ALBATIN
HBX,INDIA,HUBLI
HCA,UNITED STATES,HOWARD COUNTY
HCB,UNITED STATES,SHOAL COVE
HCC,UNITED STATES,COLUMBIA COUNTY
HCM,SOMALIA,EIL
HCN,TAIWAN,HENGCHUN
HCQ,AUSTRALIA,HALLS CREEK
HCR,UNITED STATES,HOLY CROSS
HCS,SOUTH AFRICA,RANDBURG HELIPORT
HCW,UNITED STATES,CHERAW
HDA,UNITED STATES,HIDDEN FALLS
HDB,GERMANY,HEIDELBERG
HDD,PAKISTAN,HYDERABAD
HDE,UNITED STATES,BREWSTER FIELD
HDF,GERMANY,HERINGSDORF
HDH,UNITED STATES,DILLINGHAM AIRFIELD
HDM,IRAN,HAMADAN
HDN,UNITED STATES,YAMPA VALLEY
HDR,IRAN,HAVADARYA
HDS,SOUTH AFRICA,HOEDSPRUIT AIRPORT
HDY,THAILAND,HAT YAI
HEA,AFGHANISTAN,HERAT
HEB,MYANMAR,HENZADA
HED,UNITED STATES,HERENDEEN
HEE,UNITED STATES,THOMPSON-ROBBINS
HEH,MYANMAR,HEHO
HEI,GERMANY,HEIDE-BUESUM
HEK,CHINA,HEIHE
HEL,FINLAND,HELSINKI-VANTAA
HEM,FINLAND,HELSINKI-MALMI
HEN,UNITED KINGDOM,HENDON
HEO,PAPUA NEW GUINEA,HAELOGO
HER,GREECE,NIKOS KAZANTZAKIS AIRPORT
HES,UNITED STATES,STATE
HET,CHINA,HOHHOT
HEV,SPAIN,HUELVA
HEW,GREECE,HELLINIKON (CLOSED)
HEX,DOMINICAN REPUBLIC,SANTO DOMINGO HERRERA
HEY,UNITED STATES,HANCHEY ARMY HELIPORT
HEZ,UNITED STATES,HARDY-ANDERS
HFA,ISRAEL,HAIFA
HFD,UNITED STATES,BRAINARD
HFE,CHINA,SHANGHAI
HFF,UNITED STATES,MACKALL AAF
HFN,ICELAND,HORNAFJORDUR
HFS,SWEDEN,HAGFORS
HFT,NORWAY,HAMMERFEST
HGA,SOMALIA,HARGEISA
HGD,AUSTRALIA,HUGHENDEN
HGH,CHINA,HANGZHOU
HGI,SUDAN,HIGLIEG
HGL,GERMANY,HELGOLAND
HGN,THAILAND,MAE HONG SON
HGO,COTE D'IVOIRE (IVORY COAST),KORHOGO
HGR,UNITED STATES,WASH. COUNTY REGIONAL
HGS,SIERRA LEONE,HASTINGS
HGT,UNITED STATES,HUNTER AAF
HGU,PAPUA NEW GUINEA,KAGAMUGA
HGZ,UNITED STATES,HOGATZA
HHA,CHINA,HUANGHUA INTERNATIONAL
HHE,JAPAN,HACHINOHE
HHH,UNITED STATES,HILTON HEAD
HHI,UNITED STATES,WHEELER AFB
HHN,GERMANY,FRANKFURT-HAHN
HHP,HONG KONG,H K HELIPORT
HHQ,THAILAND,HUA HIN AIRPORT
HHR,UNITED STATES,HAWTHORNE
HHZ,FRENCH POLYNESIA,HIKUERU
HIB,UNITED STATES,CHISHOLM
HIC,SOUTH AFRICA,ISCOR HELIPORT
HID,AUSTRALIA,HORN ISLAND
HIE,UNITED STATES,REGIONAL
HIF,UNITED STATES,HILL AFB
HIG,AUSTRALIA,HIGHBURY
HIH,AUSTRALIA,HOOK ISLAND
HII,UNITED STATES,MUNICIPAL
HIJ,JAPAN,INTERNATIONAL
HIK,UNITED STATES,HICKAM AFB
HIL,ETHIOPIA,SHILLAVO
HIM,SRI LANKA,HINGURAKGODA
HIN,KOREA (SOUTH),SACHEON
HIO,UNITED STATES,PORTLAND
HIP,AUSTRALIA,HEADINGLY
HIR,SOLOMON ISLANDS,HENDERSON INTL
HIS,AUSTRALIA,HAYMAN ISLAND
HIT,PAPUA NEW GUINEA,HIVARO
HIW,JAPAN,HIROSHIMA WEST
HIX,FRENCH POLYNESIA,HIVA OA
HJJ,CHINA,ZHI JIANG
HJR,INDIA,KHAJURAHO
HJT,MONGOLIA,KHUJIRT
HKA,UNITED STATES,MUNICIPAL
HKB,UNITED STATES,HEALY LAKE
HKD,JAPAN,HAKODATE
HKG,HONG KONG,HONG KONG INTERNATIONAL
HKK,NEW ZEALAND (AOTEAROA),HOKITIKA ARPT
HKN,PAPUA NEW GUINEA,HOSKINS
HKS,UNITED STATES,HAWKINS FIELD
HKT,THAILAND,PHUKET INTERNATIONAL
HKV,BULGARIA,HASKOVO
HKY,UNITED STATES,HICKORY
HLA,SOUTH AFRICA,LANSERIA
HLB,UNITED STATES,HILLENBRAND
HLC,UNITED STATES,HILL CITY
HLD,CHINA,HAILAR
HLF,SWEDEN,HULTSFRED - VIMMERBY
HLG,UNITED STATES,OHIO COUNTY
HLH,CHINA,ULANHOT
HLI,UNITED STATES,HOLLISTER
HLL,AUSTRALIA,HILLSIDE
HLM,UNITED STATES,PARK TOWNSHIP
HLN,UNITED STATES,HELENA
HLP,INDONESIA,HALIM PERDANA KUSUMA
HLR,UNITED STATES,FORT HOOD AAF
HLS,AUSTRALIA,ST HELENS
HLT,AUSTRALIA,HAMILTON
HLU,NEW CALEDONIA,HOUAILOU
HLV,AUSTRALIA,HELENVALE
HLW,SOUTH AFRICA,HLUHLUWE
HLY,UNITED KINGDOM,ANGLESEY AIRPORT
HLZ,NEW ZEALAND (AOTEAROA),HAMILTON
HMA,RUSSIA,KHANTY-MANSIYSK
HME,ALGERIA,OUED IRARA APT
HMG,AUSTRALIA,HERMANNSBURG
HMI,CHINA,HAMI
HMJ,UKRAINE,KHMELNITSKIY
HMN,UNITED STATES,HOLLOMAN AFB
HMO,MEXICO,GEN PESQUEIRA GARCIA
HMR,NORWAY,HAMAR ARPT
HMS,UNITED STATES,HOMESHORE
HMT,UNITED STATES,RYAN FIELD
HMV,SWEDEN,HEMAVAN
HNA,JAPAN,HANAMAKI
HNB,UNITED STATES,MUNICIPAL
HNC,UNITED STATES,HATTERAS
HND,JAPAN,TOKYO HANEDA INTERNATIONAL
HNE,UNITED STATES,TAHNETA PASS
HNG,NEW CALEDONIA,HIENGHENE
HNH,UNITED STATES,HOONAH
HNI,PAPUA NEW GUINEA,HEIWENI
HNK,AUSTRALIA,HINCHINBROOK ISLAND
HNL,UNITED STATES,HONOLULU INTERNATIONAL
HNM,UNITED STATES,HANA
HNN,PAPUA NEW GUINEA,HONINABI
HNO,SERBIA AND MONTENEGRO,HERCEGNOVI
HNS,UNITED STATES,MUNICIPAL
HNX,CANADA,HANNA
HNY,CHINA,HENGYANG
HOA,KENYA,HOLA
HOB,UNITED STATES,LEA COUNTY
HOC,PAPUA NEW GUINEA,KOMAKO
HOD,YEMEN,HODEIDAH ARPT
HOE,LAOS,HOUEISAY
HOF,SAUDI ARABIA,ALAHSA
HOG,CUBA,HOLGUIN
HOH,AUSTRIA,HOHENEMS
HOI,FRENCH POLYNESIA,HAO ISLAND
HOK,AUSTRALIA,HOOKER CREEK
HOL,UNITED STATES,HOLIKACHU
HOM,UNITED STATES,HOMER
HON,UNITED STATES,HOWES
HOO,VIET NAM,NHON CO
HOP,UNITED STATES,CAMPBELL AAF
HOQ,GERMANY,HOF
HOR,PORTUGAL,HORTA
HOS,ARGENTINA,OSCAR REGUERA
HOT,UNITED STATES,MEMORIAL FIELD
HOU,UNITED STATES,WILLIAM P HOBBY
HOV,NORWAY,HOVDEN
HOW,PANAMA,HOWARD AFB
HOX,MYANMAR,HOMALIN
HOY,UNITED KINGDOM,HOY ISLAND
HPB,UNITED STATES,HOOPER BAY
HPE,AUSTRALIA,HOPE VALE
HPH,VIET NAM,CATBI
HPN,UNITED STATES,WESTCHESTER COUNTY APT
HPP,CAMBODIA,POIPET
HPR,SOUTH AFRICA,CENTRAL HPR
HPT,UNITED STATES,MUNICIPAL
HPV,UNITED STATES,PRINCEVILLE
HPY,UNITED STATES,BAYTOWN
HQM,UNITED STATES,BOWERMAN
HRA,PAKISTAN,MANSEHRA
HRB,CHINA,HARBIN
HRC,KAZAKHSTAN,ZHAIREM
HRE,ZIMBABWE,HARARE
HRG,EGYPT,HURGHADA
HRJ,NEPAL,CHAURJHARI
HRK,UKRAINE,KHARKOV
HRL,UNITED STATES,VALLEY INTERNATIONAL
HRN,AUSTRALIA,HELIPORT
HRO,UNITED STATES,BOONE COUNTY
HRR,COLOMBIA,HERRERA
HRS,SOUTH AFRICA,HARRISMITH AIRPORT
HRT,UNITED KINGDOM,LINTON-ON-OUSE
HRY,AUSTRALIA,HENBURY
HRZ,BRAZIL,HORIZONTINA
HSB,UNITED STATES,RALEIGH
HSC,CHINA,SHAOGUAN
HSG,JAPAN,SAGA
HSH,UNITED STATES,HENDERSON SKY HARBOR
HSI,UNITED STATES,HASTINGS
HSK,SPAIN,HUESCA
HSL,UNITED STATES,HUSLIA
HSM,AUSTRALIA,HORSHAM
HSN,CHINA,ZHOUSHAN
HSP,UNITED STATES,INGALLS FIELD
HSS,INDIA,HISSAR
HST,UNITED STATES,AFB
HSV,UNITED STATES,HUNTSVILLE INTERNATIONAL - CARL T. JONES
HSZ,TAIWAN,HSINCHU
HTA,RUSSIAN FEDERATION,CHITA
